City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
256,Samarai,PG,2020-02-21 23:47:30,-10.62,150.67,86.05,63,95,3.69
257,Mendi,PG,2020-02-21 23:46:51,-6.18,143.65,66.74,81,92,0.47
258,Balakhninskiy,RU,2020-02-21 23:47:30,58.01,114.28,7.25,97,100,2.13
259,San Antonio,US,2020-02-21 23:44:46,29.42,-98.49,55.4,53,1,8.23
260,Zhigansk,RU,2020-02-21 23:47:31,66.77,123.37,-7.01,97,100,10.83
261,Nouadhibou,MR,2020-02-21 23:47:31,20.93,-17.03,64.4,77,17,21.92
262,Kurchum,KZ,2020-02-21 23:47:31,48.57,83.65,17.53,74,100,1.52
263,Kurilsk,RU,2020-02-21 23:47:31,45.23,147.88,20.48,67,37,5.79
264,Huilong,CN,2020-02-21 23:47:32,31.81,121.66,53.01,75,0,8.63
265,Hambantota,LK,2020-02-21 23:47:32,6.12,81.12,81.0,79,100,22.66
266,Maragheh,IR,2020-02-21 23:47:32,37.39,46.24,34.92,91,100,4.12
267,Kieta,PG,2020-02-21 23:47:32,-6.22,155.63,84.78,64,0,5.95
268,Cicero Dantas,BR,2020-02-21 23:47:32,-10.6,-38.38,75.16,85,70,11.36
269,Matagami,CA,2020-02-21 23:46:56,49.75,-77.63,30.2,50,1,12.75
270,Nykoping,SE,2020-02-21 23:47:33,58.75,17.01,44.6,81,90,18.34
271,Whitehorse,CA,2020-02-21 23:47:33,60.72,-135.05,35.6,55,75,5.82
272,Narodychi,UA,2020-02-21 23:47:33,51.2,29.08,32.88,92,47,7.2
273,Pombas,CV,2020-02-21 23:47:34,17.15,-25.02,69.8,73,75,29.97
274,Constitucion,CL,2020-02-21 23:47:34,-35.33,-72.42,54.88,95,0,4.03
275,Dunedin,NZ,2020-02-21 23:47:34,-45.87,170.5,60.01,67,100,1.01
276,Chatrapur,IN,2020-02-21 23:47:34,19.35,84.98,64.71,76,0,1.97
277,San Carlos De Bariloche,AR,2020-02-21 23:45:36,-41.15,-71.31,69.8,16,0,11.41
278,Vina Del Mar,CL,2020-02-21 23:47:34,-33.02,-71.55,64.4,77,4,5.82
279,Bukama,CD,2020-02-21 23:47:35,-9.2,25.85,71.49,95,100,1.34
280,San Patricio,MX,2020-02-21 23:47:19,19.22,-104.7,80.6,78,20,5.82
281,San Felipe,VE,2020-02-21 23:47:35,10.34,-68.74,70.09,91,58,2.26
282,Carballo,ES,2020-02-21 23:47:35,43.21,-8.69,51.01,100,0,3.36
283,Nha Trang,VN,2020-02-21 23:47:36,12.25,109.18,77.0,73,40,19.46
284,Laguna,US,2020-02-21 23:47:36,38.42,-121.42,75.99,24,1,11.41
285,Aragats,AM,2020-02-21 23:47:36,40.49,44.35,37.4,86,75,1.12
286,Sao Felix Do Xingu,BR,2020-02-21 23:47:36,-6.64,-51.99,71.46,99,100,1.68
287,Davila,PH,2020-02-21 23:47:36,18.47,120.58,62.6,93,20,1.12
288,Abensberg,DE,2020-02-21 23:47:36,48.82,11.85,39.2,74,95,3.36
289,Bolnisi,GE,2020-02-21 23:47:37,41.45,44.54,42.8,85,40,8.05
290,Ponte De Sor,PT,2020-02-21 23:47:37,39.25,-8.01,55.0,67,0,2.8
291,Kalabagh,PK,2020-02-21 23:47:37,32.97,71.56,56.39,58,52,1.07
292,Talnakh,RU,2020-02-21 23:47:37,69.49,88.4,12.2,85,100,11.18
293,Markala,ML,2020-02-21 23:47:37,13.7,-6.07,79.29,11,32,10.45
294,Green Valley,US,2020-02-21 23:42:54,31.85,-110.99,71.6,37,90,18.34
295,Santa Rosa,PH,2020-02-21 23:47:38,14.31,121.11,77.0,78,20,2.24
