,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
572,Rio Brilhante,BR,63.27,clear sky,-21.8,-54.55,Hotel Cattani
574,Mahanoro,MG,76.08,overcast clouds,-19.9,48.8,Hôtel Mon Désir
575,Ukiah,US,55.99,clear sky,39.15,-123.21,Hampton Inn Ukiah
580,Pascagoula,US,46.0,clear sky,30.37,-88.56,Regency Inn
581,Tanout,NE,65.7,few clouds,14.97,8.89,
589,Fuling,CN,50.52,overcast clouds,29.7,107.39,Yingbin Hostel
590,Guebwiller,FR,51.8,light rain,47.92,7.2,Le Saint-Barnabé | Hôtel et Spa Haut-Rhin
594,Dehloran,IR,60.35,broken clouds,32.69,47.27,مسافرخانه قدس(عبدالله خداکرمی)
595,Luanda,AO,78.8,broken clouds,-8.84,13.23,EPIC SANA Luanda
596,Burica,AO,78.8,broken clouds,-8.84,13.23,EPIC SANA Luanda
597,Afua,BR,77.56,overcast clouds,-0.16,-50.39,Hotel Dias
598,Rovereto,IT,42.01,scattered clouds,45.89,11.04,Hotel Leon D'Oro
599,Dos Hermanas,ES,54.0,scattered clouds,37.28,-5.92,Hotel TRH La Motilla
600,Pimentel,PE,66.2,scattered clouds,-6.84,-79.93,Casona Del Muelle
603,Azar Shahr,BR,73.72,light rain,-21.64,-41.05,Pousada Porto De Canoas
608,Ventspils,LV,41.0,scattered clouds,57.39,21.56,Jūras brīze
609,Tahlequah,US,50.0,clear sky,35.92,-94.97,Tahlequah Motor Lodge
610,Biu,NG,73.44,clear sky,10.61,12.19,EYN LCC MANDARAGIRAU
612,Laranjeiras Do Sul,BR,56.21,clear sky,-25.41,-52.42,Hotel Palmeiras
613,Graneros,CL,52.92,clear sky,-34.07,-70.73,Campo Escuela Callejones Park
615,Hof,DE,48.0,light rain,50.32,11.92,Hotel Burghof
616,Waipawa,NZ,66.0,clear sky,-41.41,175.52,Tora Coastal Walk
619,Lata,PT,55.99,mist,40.16,-8.33,Casa Maquia
620,Pimenteiras,BR,69.46,overcast clouds,-6.25,-41.42,Hotel Central
621,Karamea,BR,69.46,overcast clouds,-6.25,-41.42,Hotel Central
623,Katsuura,JP,60.01,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
628,Dalbandin,PK,60.26,clear sky,28.89,64.41,Gidaan Guest House
629,Nishihara,JP,69.8,few clouds,26.18,127.76,Minshuku Agaihama
630,Half Moon Bay,US,54.0,scattered clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
631,Ballstad,US,54.0,scattered clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
636,Flagstaff,US,46.99,light rain,35.2,-111.65,Drury Inn & Suites Flagstaff
641,Corsicana,US,50.0,clear sky,32.1,-96.47,Holiday Inn Express & Suites Corsicana I-45
642,Magugu,TZ,64.76,overcast clouds,-4.02,35.77,
644,Alice,US,62.6,overcast clouds,27.75,-98.07,Holiday Inn Express & Suites Alice
647,Beloha,MG,74.52,broken clouds,-25.17,45.05,
650,Niimi,JP,50.0,scattered clouds,34.98,133.47,備中路
657,Mingaora,PK,43.16,clear sky,34.78,72.36,Burj Al Swat
658,Poya,NC,79.16,clear sky,-21.35,165.15,
659,Fukue,JP,51.8,few clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
660,Dzhusaly,JP,51.8,few clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
662,Banyo,CM,65.26,scattered clouds,6.75,11.82,Motel JOMBA
664,Valparaiso,CL,55.4,clear sky,-33.04,-71.63,Hotel Ultramar
666,Uyuni,BO,56.21,clear sky,-20.46,-66.83,Hostal La Magia de Uyuni
667,Cooma,AU,77.0,broken clouds,-36.23,149.13,High Country Motel
668,Ayolas,PY,58.77,clear sky,-27.4,-56.9,Hotel Ayolas
669,Flinders,AU,79.0,scattered clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
